Bin index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,Average bin PA,max RBS,Average RBS,Total fold,CAI,AAA codon count,GCA codon count,TTT codon count,FE window 1,FE window 2,FE window 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7183,10983,1442,6671,5235,2853,8636,1875,12571,2522,12614,9558,7035,7884,3403,12100,11477,7075,12497,8013,6919,7987,10238,3837,6086,10570,0.029634425,-2.473076923,-0.425801282,-19.55384615,0.550810361,0.423076923,0.461538462,0.461538462,-7.811538462,-7.4,-7.423076923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,5773,12292,5602,8419,5875,4114,998,9462,11540,6565,11547,7347,4433,9772,11602,10133,10369,12075,746,1710,2140,1657,4234,9361,11322,3711,0.049734981,-2.588461538,-0.438301282,-18.79615385,0.565250776,0.307692308,0.192307692,0.884615385,-7.4,-7.173076923,-6.873076923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,5237,10086,3170,10731,9072,10991,1147,11181,5096,6547,6836,3940,4772,1639,6617,7325,11419,11109,2016,1611,9414,4998,724,2480,7744,11701,0.050441898,-2.415384615,-0.438141026,-19.03461538,0.521528898,0.423076923,0.192307692,0.846153846,-7.711538462,-7.303846154,-7.165384615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,0.043886352,-2.542307692,-0.437179487,-20.98076923,0.527793039,0.269230769,0.461538462,0.423076923,-10.34230769,-9.469230769,-9.119230769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,10560,3293,6954,2248,9917,4057,9085,7157,8566,1380,6833,6691,5075,9369,9354,10110,12166,9587,2721,1076,2262,7390,2940,3661,1299,9591,0.051601907,-2.511538462,-0.437820513,-18.98846154,0.557289053,0.615384615,0.230769231,0.423076923,-7.734615385,-7.407692308,-7.042307692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,5055,4236,5940,4336,9343,12696,8715,10651,648,12838,8603,12097,1558,1182,3958,7081,8943,5749,7941,12380,11116,2785,7207,12818,7036,12593,0.045534962,-2.792307692,-0.524839744,-18.68076923,0.52225274,0.384615385,0.269230769,0.615384615,-7.369230769,-7.269230769,-7.007692308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,1656,2169,9702,10839,8087,5993,5861,6885,8289,5880,1985,894,9409,6718,7332,3890,4590,10056,4302,8070,1757,545,11559,2007,7676,11709,0.049075098,-3.373076923,-0.585737179,-20.04230769,0.572974226,0.230769231,0.307692308,0.692307692,-8.123076923,-7.307692308,-7.011538462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,9419,9707,793,10189,11142,10580,925,7717,2755,2694,5653,11899,6711,1499,12667,7401,11802,2364,7261,5826,6945,9370,9348,7215,7247,1138,0.04716529,-3.096153846,-0.50625,-18.97307692,0.524793069,0.269230769,0.384615385,0.5,-7.6,-7.334615385,-6.915384615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,2689,2823,4996,9805,10765,819,6895,8536,5917,1801,3358,5654,2642,2476,12610,12112,4242,3867,470,6342,7601,12363,7782,8189,10748,1887,0.038434839,-2.811538462,-0.551442308,-19.47692308,0.552400066,0.461538462,0.192307692,0.846153846,-8.292307692,-7.403846154,-6.892307692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,3875,6589,3417,5191,12868,3252,8814,6447,922,8200,5247,3906,7524,8387,12319,7377,12144,1384,1439,8782,7823,10514,10139,5765,8565,8264,0.048048117,-2.561538462,-0.447916667,-19.42692308,0.55170349,0.076923077,0.461538462,0.461538462,-7.819230769,-7.242307692,-7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,8042,1213,12772,679,7682,12578,5375,2533,2074,2607,7901,9153,759,2234,9753,12887,4307,8696,10314,10155,1372,2949,7551,4520,2451,1988,0.057061946,-3.419230769,-0.557211538,-19.58461538,0.556427566,0.538461538,0.153846154,0.423076923,-8.392307692,-7.492307692,-7.030769231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,6591,6073,8436,8705,508,3313,2512,5962,11600,9631,2041,10121,5506,3303,3576,7858,4382,6072,8412,619,4910,6583,5102,9937,10962,3467,0.050974701,-2.75,-0.426442308,-20.56923077,0.520936256,0.307692308,0.346153846,0.692307692,-7.857692308,-7.480769231,-7.215384615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,1429,11200,7373,9952,11238,5485,9045,8810,7939,10592,10696,4337,5519,2541,10691,10296,836,9246,6392,10842,12042,2864,4622,3222,7165,8130,0.049658314,-2.35,-0.358333333,-18.91923077,0.528433275,0.307692308,0.307692308,0.653846154,-7.557692308,-7.334615385,-7.088461538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,10024,1019,8963,5307,4067,5246,10084,8364,10998,6482,863,8629,5497,2752,12063,12057,685,3737,1425,5547,2402,10106,5892,3692,1740,10146,0.045786311,-2.434615385,-0.363461538,-18.55769231,0.537046221,0.192307692,0.230769231,0.615384615,-7.484615385,-7.280769231,-6.861538462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,10413,3280,5986,11562,11235,9479,10343,8040,8445,4769,10530,2202,2529,3603,4206,8580,9349,4135,8024,11002,8663,9617,1544,4471,9392,9899,0.027149831,-2.7,-0.434615385,-18.93461538,0.51317149,0.192307692,0.269230769,0.730769231,-7.669230769,-7.153846154,-6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,2452,5208,3278,6962,3186,3100,8349,6907,4940,8338,2447,12689,8461,3238,7315,3060,3014,9870,3784,3172,3785,6738,3092,1878,3103,11935,0.109645647,-2.730769231,-0.476121795,-19.03461538,0.582632214,0.153846154,0.423076923,0.615384615,-8.392307692,-7.511538462,-7.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,12184,11869,5280,6267,7224,900,6561,2212,1261,9183,3420,11671,6787,9263,10639,1679,5488,5878,2485,3366,4526,7880,10961,11598,7576,3287,0.048977206,-2.646153846,-0.43349359,-19.37307692,0.538156924,0.192307692,0.538461538,0.538461538,-7.796153846,-7.365384615,-6.892307692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,8858,5549,10093,2231,1161,6939,3572,7444,1249,1184,4325,10153,593,7483,7648,10225,11030,10927,9761,11533,7181,8573,10083,4310,7257,4715,0.051649787,-2.284615385,-0.372916667,-18.78076923,0.557484467,0.5,0.192307692,0.615384615,-7.519230769,-7.361538462,-7.130769231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,2067,2072,2083,2138,2151,2152,2160,2186,2198,2227,2258,2562,2565,2592,2617,2669,2686,2713,2875,2876,2878,2978,2997,3000,3188,3220,0.063983218,-2.453846154,-0.311858974,-19.84615385,0.587051387,0.269230769,0.384615385,0.538461538,-9.65,-8.107692308,-7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,3289,12262,766,11799,2716,9063,5442,7118,1416,5056,8085,8886,5869,5569,986,10534,1223,1137,7852,8899,4565,8722,5834,10810,6834,6276,0.061778897,-2.842307692,-0.480288462,-19.23846154,0.537785069,0.461538462,0.307692308,0.269230769,-7.661538462,-7.534615385,-7.257692308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,2516,11436,10726,9107,8813,11595,9455,3983,12627,7209,2458,3878,9167,10276,5082,12216,11304,4160,10165,11725,9762,9287,7945,10075,1903,969,0.049952764,-3.126923077,-0.575480769,-18.71923077,0.549805705,0.423076923,0.192307692,0.653846154,-7.753846154,-7.242307692,-6.911538462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,8184,4492,795,6950,1730,4419,9308,12034,9438,7379,8240,2948,11522,1176,6410,12131,11189,756,9936,8234,5711,6606,9115,848,6883,3237,0.045082078,-3.05,-0.614262821,-18.79615385,0.585803133,0.384615385,0.153846154,0.307692308,-7.734615385,-7.353846154,-7.019230769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,11675,12032,595,820,5982,12008,7493,5938,7486,6740,1178,10435,10650,11052,9350,9421,4664,10477,11134,2619,7375,7593,8035,5821,11217,7645,0.043174307,-3.111538462,-0.551121795,-18.56923077,0.563116051,0.769230769,0.269230769,0.538461538,-7.523076923,-7.192307692,-6.803846154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,1981,3816,1231,12026,7176,5885,8248,6860,11617,12289,12102,3583,2371,2740,5264,4681,921,9182,3334,3435,8063,10425,7108,3270,1463,5528,0.052792965,-3.046153846,-0.52724359,-19.13076923,0.54519205,0.5,0.269230769,0.384615385,-7.973076923,-7.611538462,-7.180769231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,1156,6202,9763,12383,6689,6726,3010,12554,10507,6205,11650,9190,7961,8594,8101,7308,3736,8680,3696,9310,730,1082,667,10972,4022,1341,0.053355844,-2.561538462,-0.408814103,-19.03461538,0.545612913,0.307692308,0.076923077,0.730769231,-7.534615385,-7.307692308,-6.911538462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,8406,6228,3528,7831,12059,10552,8884,1017,3573,3028,1220,634,2502,1142,6128,2868,6321,7902,3199,10264,3914,5985,3534,7245,10111,5054,0.051707082,-2.703846154,-0.435737179,-19.56538462,0.541662134,0.230769231,0.307692308,0.5,-7.865384615,-7.346153846,-7.023076923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,2828,7953,4477,10044,9938,1880,1986,5465,5477,6103,10784,12759,2974,11050,5640,1529,6875,733,5529,5268,1337,834,12873,12459,997,11047,0.049896506,-3.061538462,-0.595192308,-18.48461538,0.51693917,0.115384615,0.269230769,0.5,-7.657692308,-7.334615385,-6.819230769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,9048,6015,4813,7149,7500,7514,11861,2897,3007,8116,11296,10063,4766,10869,7889,459,1998,11380,8649,7739,4628,10249,12864,9243,9412,11823,0.036271069,-2.623076923,-0.438301282,-18.37307692,0.562920832,0.230769231,0.269230769,0.653846154,-7.596153846,-7.192307692,-6.807692308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,12444,3346,9326,12704,11526,7193,11555,11565,10946,10359,12232,8299,5865,2334,1120,3733,10498,9539,3698,8614,1723,594,7638,6132,8347,4434,0.05429062,-2.55,-0.434935897,-18.94230769,0.557116959,0.230769231,0.153846154,0.653846154,-7.65,-7.238461538,-6.942307692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,8287,11063,5224,11129,5607,8742,11742,10023,6727,6065,6634,11086,1222,4803,12501,9170,6971,5722,11100,1116,2780,10561,11837,2761,12789,4250,0.057791923,-2.780769231,-0.524519231,-18.37307692,0.554886284,0.461538462,0.384615385,0.461538462,-7.265384615,-7.142307692,-6.742307692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,6363,7862,5095,12278,9785,4252,10719,2066,8718,4392,629,11330,10015,9405,472,11894,668,2328,8371,9069,7737,9847,9374,4685,3389,11541,0.049320427,-2.715384615,-0.444871795,-19.78846154,0.53510198,0.384615385,0.115384615,0.615384615,-7.826923077,-7.307692308,-6.880769231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,9480,9494,9555,9570,9584,9588,9648,9669,9695,9698,9725,9731,9740,9748,9828,9829,9878,9922,9976,9982,10014,10053,10163,10171,10175,10188,0.028031535,-2.123076923,-0.284294872,-18.63461538,0.520181759,0.384615385,0.346153846,0.230769231,-6.923076923,-6.9,-6.634615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,4008,1522,8551,9488,11287,7531,5443,6548,1400,7826,9231,9686,4575,7334,5800,5647,7091,7426,12350,5707,12419,9999,8646,1343,5326,9524,0.079126323,-3.088461538,-0.578685897,-18.52692308,0.560610578,0.384615385,0.307692308,0.461538462,-7.307692308,-7.126923077,-6.896153846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,2176,4913,5127,7061,2586,6756,3739,6713,3240,8092,6948,3640,11729,11731,5628,567,5222,8617,1069,2492,6429,9036,8410,9090,4017,1594,0.059309203,-3.311538462,-0.604807692,-19.24230769,0.554656042,0.307692308,0.346153846,0.269230769,-7.980769231,-7.346153846,-6.980769231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,2994,12666,10368,6717,1744,4255,12561,4061,8015,5066,2009,2936,4848,9864,4121,8624,4035,1567,3738,10643,8519,3181,5079,9210,2112,6409,0.047905056,-3.023076923,-0.528365385,-19.01923077,0.557160622,0.230769231,0.269230769,0.769230769,-7.803846154,-7.288461538,-6.915384615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,11611,6324,2715,860,4263,3756,11916,11033,2557,6350,3822,11537,5624,4349,2920,1576,2128,5175,6573,9940,9712,10150,10712,2951,10154,4005,0.054004948,-2.388461538,-0.342467949,-18.32307692,0.543609448,0.461538462,0.153846154,0.615384615,-7.538461538,-7.307692308,-6.946153846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,7494,4605,11885,7742,12841,5949,9197,2527,4093,5435,9161,9766,12749,2026,8355,5115,7003,2776,9420,9305,2659,8071,11185,9307,12048,1585,0.049478903,-2.653846154,-0.416346154,-19.48076923,0.562137111,0.269230769,0.192307692,0.807692308,-7.761538462,-7.226923077,-6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,2121,4460,7760,8561,8281,517,7234,6241,4001,2913,10554,2859,7024,11328,9742,9333,8343,3755,11995,790,3789,6840,12155,6496,3820,5028,0.048484283,-2.634615385,-0.476923077,-18.21538462,0.549855883,0.5,0.153846154,0.653846154,-7.865384615,-7.307692308,-7.042307692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,628,8936,2124,12518,4233,9268,1452,1798,2655,10384,9378,3998,11708,12594,5239,1617,3546,2736,6792,4389,6028,12465,9437,11943,10909,4368,0.051239049,-2.911538462,-0.565544872,-19.41538462,0.524679109,0.192307692,0.153846154,0.769230769,-7.480769231,-7.315384615,-6.869230769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,1771,3322,5929,3645,8502,8736,8210,3386,4258,4480,2471,9723,7052,11614,3432,9422,7998,7993,4531,1041,5217,9101,11117,10921,12019,1290,0.054456501,-2.519230769,-0.338621795,-18.5,0.543781459,0.346153846,0.192307692,0.5,-7.757692308,-7.284615385,-6.823076923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,5825,897,6349,10965,12790,12272,2832,6282,8503,3748,7558,10068,511,9467,3302,11443,5328,11723,12395,10583,6165,9850,11049,845,794,9838,0.045170019,-2.803846154,-0.487660256,-19.4,0.527524664,0.538461538,0.5,0.615384615,-7.5,-7.242307692,-6.830769231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,7632,12550,7186,8278,11818,1823,1491,2704,1607,12731,9959,5736,11624,8012,5345,1805,10490,11251,3558,1521,5827,6292,9597,597,852,944,0.026407694,-2.388461538,-0.420192308,-19.44615385,0.557571193,0.307692308,0.423076923,0.384615385,-7.934615385,-7.480769231,-7.092307692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,10147,1185,2404,830,2964,9577,5473,12853,9172,3643,2076,11361,7919,11389,2812,9140,1225,10078,11108,3611,6022,11855,10602,5266,8132,11795,0.076233597,-2.896153846,-0.467948718,-18.92692308,0.595558421,0.538461538,0.192307692,0.538461538,-7.680769231,-7.269230769,-6.865384615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,11388,2724,11204,7062,569,11655,10631,10653,1027,7872,7064,7537,5960,633,9840,9670,1809,4403,8529,12352,10599,9179,11641,9031,4115,8280,0.058686773,-2.692307692,-0.452724359,-19.53846154,0.528692825,0.423076923,0.269230769,0.346153846,-7.719230769,-7.326923077,-7.084615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,11663,9933,5445,984,10352,8011,951,11223,12812,5951,2539,10275,8527,12641,10829,7179,1020,4532,9084,6741,6452,9894,8452,7014,10775,6890,0.050141132,-2.973076923,-0.479647436,-18.81923077,0.547357176,0.076923077,0.307692308,0.5,-7.607692308,-7.373076923,-7.142307692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,11696,2114,4653,6115,2887,6881,3618,10455,2254,10505,2916,11719,1732,9384,5504,3475,7801,9792,12240,11164,7269,10997,9912,9289,9867,6098,0.026657943,-2.676923077,-0.417467949,-18.9,0.550704827,0.423076923,0.384615385,0.615384615,-7.507692308,-7.169230769,-6.769230769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,10486,10385,8841,1586,3439,4265,1523,11458,669,12739,11457,9175,6305,5853,8341,5311,560,4381,3582,5915,6635,7293,3812,7815,9363,8576,0.055444216,-2.857692308,-0.463301282,-18.70384615,0.52811626,0.346153846,0.269230769,0.769230769,-7.507692308,-7.357692308,-7.042307692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,3165,11221,5543,9302,7863,2869,8786,12735,12632,758,11275,12755,12886,6943,11797,9470,10255,9832,9518,7031,7250,4655,9436,10178,2299,536,0.052022017,-2.796153846,-0.457852564,-19.12307692,0.535891802,0.307692308,0.423076923,0.846153846,-7.434615385,-7.203846154,-6.903846154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,4815,7600,10995,11000,12523,5656,7832,8544,10055,11156,3620,9039,12544,2843,10866,11354,3868,956,10049,11524,9224,4877,4805,10684,3348,8168,0.036489342,-2.557692308,-0.496153846,-19.23846154,0.548124356,0.192307692,0.346153846,0.423076923,-7.603846154,-7.103846154,-6.876923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,9823,8859,2090,1711,1908,7635,12354,8870,2865,6537,8697,5729,10209,6405,4973,6380,11695,5694,3461,12029,11594,1808,8628,664,5284,2728,0.054532802,-2.453846154,-0.406730769,-18.83461538,0.533727806,0.230769231,0.307692308,0.769230769,-7.873076923,-7.357692308,-6.869230769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,11653,604,729,11621,9500,8939,1541,10646,10795,1110,5479,7704,10735,2975,977,1762,8802,7304,7335,11123,9082,4942,7819,8862,652,6408,0.052105366,-2.573076923,-0.459455128,-19.42692308,0.543558165,0.423076923,0.230769231,0.730769231,-7.673076923,-7.388461538,-7.057692308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,7721,5587,6720,8136,4588,10372,12693,4765,9768,8799,7311,3485,1643,12402,9652,7142,12760,4454,5238,1665,1778,8378,11772,8818,1169,6670,0.047405119,-2.519230769,-0.422596154,-19.40384615,0.562758198,0.230769231,0.269230769,0.730769231,-7.492307692,-7.180769231,-7.023076923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9404,9456,9466,9487,9530,9533,9609,9610,9621,9623,9639,9646,9663,9665,9672,9677,9777,9830,9860,9861,9863,9865,9934,9977,10054,10127,0.024666667,-3.923076923,-0.774839744,-19.13076923,0.579996947,0.346153846,0.5,0.5,-7.007692308,-6.9,-6.676923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,3078,10292,3027,9035,11826,5009,7547,4012,435,512,513,516,529,548,592,603,624,637,663,688,689,692,693,695,700,704,0.098806349,-2.942307692,-0.617788462,-19.17692308,0.572127825,0.653846154,0.230769231,0.307692308,-8.2,-7.95,-7.076923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,0.043886352,-2.742307692,-0.515384615,-16.11923077,0.556172453,0.692307692,0.269230769,0.384615385,-4.957692308,-4.934615385,-4.603846154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,1918,1984,1989,1991,2238,2239,2413,2414,2491,2505,2514,2517,2520,2662,2696,2708,2710,2783,2827,2851,2894,2911,2954,3001,3006,3324,0.043886352,-2.530769231,-0.415384615,-19.90769231,0.543505451,0.423076923,0.461538462,0.346153846,-9.45,-8.1,-7.169230769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,1767,2446,5594,11205,11852,9545,5458,9759,12536,1853,8131,10266,6466,12228,11680,9371,4824,11992,11343,6414,9658,4253,5459,2831,3144,1112,0.04421736,-2.576923077,-0.485096154,-19.05,0.524630425,0.384615385,0.307692308,0.615384615,-7.557692308,-7.207692308,-6.719230769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,1917,1498,3024,6239,8833,2877,8330,7047,7205,12448,4778,11139,3149,8986,3317,4167,8477,3218,6793,4656,2317,1406,10214,1936,2587,8616,0.068438728,-2.296153846,-0.365544872,-18.86538462,0.58123894,0.423076923,0.269230769,0.269230769,-8.188461538,-7.588461538,-7.115384615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,12502,2965,10512,1492,8597,772,6775,10447,10688,2017,3308,728,741,6351,9904,2283,3683,8491,7776,1631,12553,8940,8955,2417,8134,573,0.057520355,-2.923076923,-0.488942308,-19.35384615,0.524945985,0.615384615,0.153846154,0.423076923,-8.15,-7.580769231,-7.238461538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,2534,7127,7222,7046,4314,4174,2223,8599,10594,2538,9254,732,12408,2960,9682,10467,1516,4221,8003,3697,10952,8393,11039,9352,9930,10471,0.059021113,-2.55,-0.357532051,-18.63461538,0.525065471,0.346153846,0.269230769,0.576923077,-7.803846154,-7.446153846,-7.092307692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,7718,10370,491,6446,2142,11910,908,6055,4752,11079,5034,7370,9968,9964,673,9752,10644,12831,2966,4050,3300,5784,6204,7132,11573,6084,0.0512794,-2.688461538,-0.465544872,-19.30384615,0.558793662,0.423076923,0.307692308,0.307692308,-7.576923077,-7.246153846,-6.761538462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
